"sample","method","Si","Ti","Al","Fe","Mn","Mg","Ca","K","P","S","V","Cr","Ni","Cu","Zn","Rb","Sr","Y","Zr","Nb","Ba","Ce","Pb","Th"
"H087","pXRF",276943.56,4394.14,99500.67,45855.87,853.37,22905.28,19826.75,30860.51,1369.87,207.34,142.94,162.98,24.72,13.28,108.08,136.97,125.67,25.92,190.74,17.64,406.44,0,21.45,10.8
"H088","pXRF",324212.75,4676.82,110494.11,25335.3,149.87,10601.26,10536.43,31099.8,695.33,252.67,101.28,90.66,0,14.3,60.06,283.52,98.12,24.36,226.66,18.76,319.72,0,19.52,10.54
"H089","pXRF",258597.61,4012.32,81155.86,28057.77,205.66,9407.29,17697.98,27726.91,1204.32,385.89,94.28,105.24,0,13.22,99.43,217.7,137.09,26.11,249.89,20.79,526.39,0,30.74,15.58
"H090","pXRF",277385.78,3242.19,79606.07,28109.74,224.19,14032.05,6406.58,26071.03,848.01,50.08,91.66,124.15,27.59,15.45,86.23,204.29,130.67,25.94,253.44,17.48,828.37,0,26.66,11.9
"H091","pXRF",250838.8,3630.55,85075.09,34523.18,762.82,31432.83,111499.38,18755.38,1587.38,48.46,99.87,197.92,88.21,44.04,90.13,126.57,445.04,19.59,126.76,14.17,851.01,0,12.4,7.69
"H092","pXRF",303391.5,4830.28,107574.54,26839.35,492.78,34095.33,43941.5,24375.96,1237.77,175.58,126.65,129.28,41.43,27.88,102.41,140.79,173.26,23.76,231.45,19.58,300.72,0,29.33,12.97
"H093","pXRF",262728.91,3289.51,75821.31,34190.17,550.3,20494.48,77491.31,18509.11,701.45,402.98,93.8,169.12,42.19,40.11,66.32,99.19,253.24,18.82,147.07,13.39,907.31,0,15.6,7.38
"H094","pXRF",242457.77,2998.46,55958.93,33571.53,655.4,11176.29,77964.91,13305.29,1570.04,259.07,79.43,98.58,0,0,49.82,78.16,221.1,18.84,177.36,12.41,550.13,0,20.71,5.91
"H095","pXRF",340597.69,10667.25,109177.17,21939.77,85.79,6803.11,5025.47,10300.34,527.14,63.44,134.46,155.81,0,16.67,33.5,79.58,103.06,27.83,383.49,48.04,181.86,0,20.71,13.14
"H096","pXRF",226955.41,3168.91,62879.31,38088.67,1027.48,13131.54,14335.84,18309.6,1606.74,96.24,100.93,107.13,44.88,39.64,96.8,129.47,156.84,21.63,175.19,18.89,1207.12,0,34.62,7.76
"H097","pXRF",289779.34,3611.31,84247.95,25322.37,184.67,11431.34,11121.99,24390.63,1662.43,0,100.95,130.33,0,0,81.83,164.09,152.64,24.19,265.07,18.89,1202.81,0,19.52,11.37
"H098","pXRF",239831.31,4079.53,65355.37,26817.94,824.77,10431.28,38651.94,18047.51,1686.8,163.2,95.58,102.96,0,20.64,83.9,119.41,145.46,16.91,158.63,15.93,339.1,0,29.38,9.97
"H099","pXRF",293731.91,3809.02,86155.36,33591.89,463.64,15074.86,40896.48,23186.56,1309.59,38.02,137.58,118.31,31.71,13.84,88.42,137.47,226.97,19.56,162.26,17.62,1168.56,0,18.37,9.47
"H100","pXRF",241589.55,3181.77,67854.36,28612.92,458.6,12824.72,68601.58,16780.68,1359.25,319.28,93.37,124.15,34.19,0,66.9,96.8,478.59,16.39,142.72,12.22,1035.81,0,17.41,6.62
"H101","pXRF",265244.91,3798.4,86983.08,32480.13,434.17,17644.45,65192.73,21910.28,723.25,304.58,119.04,148.89,0,24.56,85.6,139.64,235.17,22.7,132.34,15.86,102.57,0,20.55,10.63
"H102","pXRF",229665.72,3112.35,71996.55,31746.29,786.24,17985.64,106931.8,19139.07,576.78,1000.46,102.28,130.39,59.38,28.08,80.81,107.09,346.88,17.04,110.43,11.58,628.31,0,14.24,6.27
"H103","pXRF",264560.06,3592.22,72274.27,37747.83,494.7,14288.08,17653.82,24358.06,679.43,85.25,91.08,104.38,0,10.34,84.97,146.18,125.22,23.13,199.14,14.67,368.63,0,23.65,11.71
"H104","pXRF",289330.78,4332.64,104260.22,43386.16,667.14,21450.3,20094.67,27744.45,706.48,188.32,125.03,137.37,47.29,17.21,103.09,157.55,113.19,28.87,231.13,18.16,572.55,0,23.63,10.38
"H105","pXRF",177884.28,2959.79,40631.92,31845.78,1285.47,2300.09,15749.28,18992.68,1241.59,39,95.8,94.96,30.53,0,63.6,105.69,153.83,20.49,176.33,12.33,913.22,0,18.42,7.38
"H106","pXRF",258339.36,4452.59,97380.13,49706.95,734.51,20839.67,4836.94,29172.12,448.44,0,97.04,155.5,36.13,17.6,119.85,179.7,114.71,29.04,216.52,20.98,396.34,0,27.44,10.04
"H107","pXRF",282676.44,3896.45,82421.11,38008.3,496.37,14012.58,18122.88,23949.47,1315.03,147.03,123.32,116.49,0,10.49,79.42,127.85,143.39,23.19,196.96,15.38,518.6,0,25.97,7.8
"H108","pXRF",265057.97,2953.64,68641.85,31922.04,422.12,14471.88,74171.69,19640.46,1106.99,129.85,85.16,120.47,0,0,58.93,98.37,232.16,17.74,153.96,12.94,558.86,0,20.05,6.9
"H109","pXRF",295886.72,4549.87,106747.57,44286.25,525.13,20926.04,23776.82,29873.43,832.58,62.95,134.82,165.54,53.86,18.5,106.21,166.06,148.91,28.01,236.23,18.67,526.7,0,23.87,11.62
